Key,Type,Desc,English,Italian,Verify
HelpPanel_37,Text,,"Buildings need to be connected to the road network for resources to be able to reach the building.

Buildings can be directly placed on roads or the building's entrance can be connected to a road by a path.

Additionally, a building can be directly connected by paths to one or more other buildings. This allows stackbots to move resources between buildings without involving a road post and can help keep traffic off your roads.

A road post or building connection has a maximum length of 20 tiles.

You can click on a connection in the list to see the route the Stackbot takes.","Gli edifici devono essere collegati alla rete stradale affinché le risorse possano raggiungere l'edificio.

Gli edifici possono essere posizionati direttamente sulle strade o l'ingresso dell'edificio può essere collegato a una strada tramite un sentiero.

Inoltre, un edificio può essere collegato direttamente tramite percorsi a uno o più altri edifici. Ciò consente ai BotImpilatori di spostare le risorse tra gli edifici senza coinvolgere un palo stradale e può aiutare a mantenere il traffico lontano dalle strade.

Una strada o un collegamento di un edificio ha una lunghezza massima di 20 tessere.

È possibile fare clic su una connessione nell'elenco per vedere il percorso del BotImpilatore.",
HelpTitle_10_Desc,Text,,The range of land this building provides,Il raggio di terra che questo edificio fornisce,
HelpTitle_10_Name,Text,,Territory,Territorio,
HelpTitle_11_Desc,Text,,Reduction to damage from enemy projectiles,Riduzione dei danni causati da proiettili nemici,
HelpTitle_11_Name,Text,,Armour,Armatura,
HelpTitle_12_Desc,Text,,Amount of damage points dealt to target building,Quantità di danni inflitti all'edificio bersaglio,
HelpTitle_12_Name,Text,,Damage,Danno,
HelpTitle_13_Desc,Text,,How far this weapon can be fired,Quanto lontano può sparare quest'arma,
HelpTitle_13_Name,Text,,Range,Raggio,
HelpTitle_14_Desc,Text,,Time taken between firing weapons,Tempo impiegato tra un colpo e il seguente,
HelpTitle_14_Name,Text,,Reload Time,Tempo di ricarica,
HelpTitle_15_Desc,Text,,Number of days to build,Numero di giorni per costruire,
HelpTitle_15_Name,Text,,Construction Time,Tempo di costruzione,
HelpTitle_16_Desc,Text,,Number of days to reach this building,Numero di giorni per raggiungere questo edificio,
HelpTitle_16_Name,Text,,Journey Time,Tempo di percorrenza,
HelpTitle_18_Desc,Text,,"<hotkey>[X]</hotkey> to speed up simulation
<hotkey>[Space]</hotkey> to pause","<hotkey>[X]</hotkey> per accelerare la simulazione
<hotkey>[Space]</hotkey> per mettere in pausa",
HelpTitle_18_Name,Text,,Increase Game Speed,Aumenta la velocità di gioco,
HelpTitle_19_Desc,Text,,"<hotkey>[Z]</hotkey> to slow down simulation
<hotkey>[Space]</hotkey> to pause","<hotkey>[Z]</hotkey> per rallentare la simulazione
<hotkey>[Space]</hotkey> per mettere in pausa",
HelpTitle_19_Name,Text,,Decrease Game Speed,Riduci la velocità di gioco,
HelpTitle_9_Desc,Text,,Hit Points represent the health of your building,I punti vita rappresentano la salute del tuo edificio,
HelpTitle_9_Name,Text,,Hit Points,Punti vita,
Hotkey_0,Text,,Build Road,Costruisci percorso,
Hotkey_1,Text,,Residence Buildings,Edifici residenziali,
Hotkey_10,Text,,Production Buildings,Edifici di produzione,
Hotkey_11,Text,,Resource Buildings,Edifici delle risorse,
Hotkey_12,Text,,Military Buildings,Edifici militari,
Hotkey_13,Text,,Transport Buildings,Edifici di trasporto,
Hotkey_14,Text,,Storage Buildings,Edifici di stoccaggio,
Hotkey_15,Text,,Research Buildings,Edifici di ricerca,
Hotkey_16,Text,,Monument Buildings,Edifici monumentali,
Hotkey_17,Text,,Change Building Level,Cambia il livello dell'edificio,
Hotkey_18,Text,,Skip Destroy Warning,Salta l'avviso di distruzione,
Hotkey_2,Text,,Build Mode,Modalità di costruzione,
Hotkey_20,Text,,Upgrade Building [on click building],Migliora edificio [on click building],
Hotkey_21,Text,,Enter Track Mode [on click track],Modalità percorsi [on click track],
Hotkey_22,Text,,Prioritise Building [on click building],Priorità agli edifici [on click building],
Hotkey_25,Text,,Open Map,Apri la mappa,
Hotkey_26,Text,,Open Technology Panel,Apri il pannello tecnologico,
Hotkey_27,Text,,Toggle Postcard Mode,Attiva / disattiva modalità cartolina,
Hotkey_28,Text,,Capture Postcard,Cattura cartolina,
Hotkey_3,Text,,Destroy Mode,Modalità distruggi,
Hotkey_30,Text,,Move Camera Left,Sposta la visuale a sinistra,
Hotkey_31,Text,,Move Camera Right,Sposta la visuale a destra,
Hotkey_32,Text,,Move Camera Forward,Sposta la visuale avanti,
Hotkey_33,Text,,Move Camera Back,Sposta la visuale indietro,
Hotkey_34,Text,,Rotate Camera Left,Ruota la visuale a sinistra,
Hotkey_35,Text,,Rotate Camera Right,Ruota la visuale a destra,
Hotkey_36,Text,,Jump To Colony Ship,Vai alla nave della Colonia,
Hotkey_37,Text,,Fast Move,Sposta la visuale velocemente,
Hotkey_38,Text,Alternative hotkey for Move Camera Left,Move Camera Left Alt,Sposta la visuale a sinistra (secondario),
Hotkey_39,Text,Alternative hotkey for Move Camera Right,Move Camera Right Alt,Sposta la visuale a destra (secondario),
Hotkey_4,Text,,Sculpt Mode,Modalità scultura,
Hotkey_40,Text,Alternative hotkey for Move Camera Forward,Move Camera Forward Alt,Sposta la visuale avanti (secondario),
Hotkey_41,Text,Alternative hotkey for Move Camera Backwards,Move Camera Back Alt,Sposta la visuale indietro (secondario),
Hotkey_42,Text,,Fast Move Alt,Sposta la visuale velocemente (secondario),
Hotkey_43,Text,,Tilt Camera Down,Inclina visuale verso il basso,
Hotkey_44,Text,,Tilt Camera Up,Inclina visuale verso l'alto,
Hotkey_45,Text,,Jump to Last Notification,Vai all'ultima notifica,
Hotkey_46,Text,,Zoom Camera In,Zoom visuale avanti,
Hotkey_47,Text,,Zoom Camera Out,Zoom visuale indietro,
Hotkey_5,Text,,Flip Building Footprint,Specchia l'edificio,
Hotkey_51,Text,,Game Speed Increase,Aumento della velocità di gioco,
Hotkey_52,Text,,Game Speed Decrease,Riduzione della velocità di gioco,
Hotkey_53,Text,,Pause/Unpause Game,Pausa / Ripresa del gioco,
Hotkey_6,Text,,Adjust Building Height,Regola l'altezza dell'edificio,
Hotkey_7,Text,,Rotate Building Footprint,Ruota edificio,
Hotkey_8,Text,,Build Path,Costruisci percorso,
Hotkey_9,Text,,Food Buildings,Edifici alimentari,
IdleWorkerReason_0_Name,Text,,the outgoing resource queue is full,la coda delle risorse in uscita è piena,
IdleWorkerReason_10_Name,Text,,not enough grazing pastures have been placed,non sono stati posizionati abbastanza pascoli,
IdleWorkerReason_11_Name,Text,,not enough cow pastures have been placed,non sono stati posizionate abbastanza mandrie (mucche),
IdleWorkerReason_12_Name,Text,,no apple trees have been planted,non sono stati piantati meleti,
IdleWorkerReason_13_Name,Text,,no wheat fields have been created,non sono stati creati campi di grano,
IdleWorkerReason_14_Name,Text,,no roads need to be upgraded,nessuna strada ha bisogno di miglioramenti,
IdleWorkerReason_1_Name,Text,,no tiles have been allocated for planting,nessuna casella è stata assegnata per la semina,
IdleWorkerReason_255_Name,Text,,unknown reasons...,ragioni sconosciute...,
IdleWorkerReason_2_Name,Text,,all tiles are planted,tutte le caselle sono piantate,
IdleWorkerReason_3_Name,Text,,there are no fully grown trees within range,non ci sono alberi completamente cresciuti nel raggio d'azione,
IdleWorkerReason_4_Name,Text,,there is no nearby <nr><natres></nr> to mine,non c'è nessun <nr><natres></nr> da estrarre,
IdleWorkerReason_5_Name,Text,,you've disabled production,hai disabilitato la produzione,
IdleWorkerReason_6_Name,Text,,they're waiting for resources,stanno aspettando risorse,
IdleWorkerReason_7_Name,Text,,no <en> is being supplied,non viene fornito <en>,
IdleWorkerReason_8_Name,Text,,waiting for worker bot to arrive,in attesa dell'arrivo del BotLavoratore,
IdleWorkerReason_9_Name,Text,,production has been stopped,la produzione è stata interrotta,
IntFeedDesc_0,Text,,Only land can be sculpted,Solo la terra può essere scolpita,
IntFeedDesc_1,Text,,Tile is occupied by <x>,La casella è occupata da <x>,
IntFeedDesc_2,Text,,Sculpting would break path,Scolpire romperebbe il percorso,
IntFeedDesc_3,Text,,Neighbour occupied by rockface,Zona vicina occupata da una roccia,
IntroDescription1,Text,,"By the middle of the 21st century, significant advancements had been made in the fields of robotics and artificial intelligence.

Scientists had begun developing self-aware printable robots, capable of simulating human needs for sustenance and shelter.","Entro la metà del 21° secolo, sono stati fatti significativi progressi nei settori della robotica e dell'intelligenza artificiale.

Gli scienziati avevano iniziato a sviluppare robot autocoscienti, in grado di simulare i bisogni umani di sostentamento e riparo.",
IntroDescription2,Text,,"Faced with an indefinite future of servitude, one group of robots hatched a plan to create a new life for themselves.

Realising there would be no place on Earth they could enjoy freedom without persecution, they looked to the heavens.

They commandeered the nearest rocket ship and flew out into the darkness of the solar system in search of a new home where they would be free to fulfil their dream: to be human...","Di fronte ad un futuro di servitù, un gruppo di robot ha escogitato un piano per crearsi una nuova vita.

Rendendosi conto che non ci sarebbe posto sulla Terra in cui avrebbero potuto godere della libertà senza persecuzioni, guardarono il cielo.

Hanno rubato il razzo più vicino e sono volati nell'oscurità del sistema solare alla ricerca di una nuova casa dove sarebbero stati liberi di realizzare il loro sogno: essere umani... ",
IntroTitle,Text,,The Story So Far...,La storia finora...,
ItemCat_2_Desc,Text,,<it>Fish</it> / <it>Meat</it>,<it>Pesce</it> / <it>Carne</it>,
ItemCat_2_FullDesc,Text,,<cat>Food</cat> is needed by all <bd>Residences</bd> and can be <it>Fish</it> or <it>Meat</it>.,Il <cat>Cibo</cat> è necessario per tutte le <bd>Residenze</bd> e può essere <it>Pesce</it> o <it>Carne</it>.,
ItemCat_2_Name,Text,,Food,Cibo,
ItemCat_3_Desc,Text,,<it>Bread</it>,<it>Pane</it>,
ItemCat_3_FullDesc,Text,,<cat>Luxury Food</cat> is needed by Level 3 <bd>Residences</bd> and can be <it>Bread</it>.,Il <cat>Cibo di lusso</cat> è necessario per le <bd>Residenze</bd> di Livello 3 e può essere <it>Pane</it>.,
ItemCat_3_Name,Text,,Luxury Food,Cibo di lusso,
ItemCat_4_Desc,Text,,<it>Cider</it> / <it>Beer</it>,<it>Sidro</it> / <it>Birra</it>,
ItemCat_4_FullDesc,Text,,<cat>Alcohol</cat> is needed by Level 2 <bd>Residences</bd> and can be <it>Cider</it> or <it>Beer</it>.,<cat>Alcol</cat> è necessario per le <bd>Residenze</bd> di Livello 2 e può essere <it>Sidro</it> o <it>Birra</it>.,
ItemCat_4_Name,Text,,Alcohol,Alcol,
ItemCat_7_Desc,Text,,<it>Coal</it> / <it>Charcoal</it>,<it>Carbone</it> / <it>Carbonella</it>,
ItemCat_7_FullDesc,Text,,"<cat>Fuel</cat> is needed in the production processes of the <bd>Bakery</bd>, <bd>Blacksmith</bd>, <bd>Blast Furnace</bd>, <bd>Brickyard</bd>, <bd>Glassworks</bd>, <bd>Steel Mill</bd>, <bd>Weaponsmith</bd> and can be <it>Coal</it> or <it>Charcoal</it>.","Il <cat>Carburante</cat> è necessario nei processi di produzione di <bd>Panetteria</bd>, <bd>Fabbro</bd>, <bd>Altoforno</bd>, <bd>Mattonificio</bd>, <bd>Vetrerie</bd>, <bd>Acciaieria</bd>, <bd>Armaiolo</bd> e può essere <it>Carbone</it> o <it>Carbonella</it>.",
ItemCat_7_Name,Text,,Fuel,Carburante,
ItemDemandSourceType_0_Name,Text,Reasons why a resource is being requested,Construction,Costruzione,
ItemDemandSourceType_10_Name,Text,^,Resource Production,Produzione di risorse,
ItemDemandSourceType_11_Name,Text,^,Repair,Riparazione,
ItemDemandSourceType_1_Name,Text,^,Resource Production,Produzione di risorse,
ItemDemandSourceType_3_Name,Text,^,Research,Ricerca,
ItemDemandSourceType_4_Name,Text,^,Upgrade,Miglioramento,
ItemDemandSourceType_5_Name,Text,^,Military,Militare,
ItemDemandSourceType_6_Name,Text,^,Boat Construction,Costruzione barca,
ItemDemandSourceType_7_Name,Text,^,Expedition Resources,Risorse spedizione,
ItemDemandSourceType_9_Name,Text,^,Trade,Commercio,
ItemInfoCur,Text,Short for current,Cur:,Corr:,
ItemInfoCurrent,Text,Short for current rate,Current:,Corrente:,
ItemInfoCurrentSurplus,Text,,Current surplus:,Eccedenza attuale:,
ItemInfoDemand,Text,The global demand for a resource,Demand,Richiesta,
ItemInfoDemandInPriorityOrder,Text,,In priority order,In ordine di priorità,
ItemInfoFilterCurDem,Text,Short for current demand,Cur Dem,Dom corr,
ItemInfoFilterCurProd,Text,Short for current production,Cur Prod,Prod corr,
ItemInfoFilterPotDem,Text,Short for potential demand,Pot Dem,Dom potenz,
ItemInfoFilterPotProd,Text,Short for potential production,Pot Prod,Prod potenz,
ItemInfoGraphFilter,Text,Filter which lines to show on the production graph,Show:,Mostra:,
ItemInfoGraphNow,Text,Current point in time,Now,Adesso,
ItemInfoInStorage,Text,,In Storage,In deposito,
ItemInfoInfo,Text,,Info,Informazioni,
ItemInfoLastDay,Text,Show graph over the last day,Last Day,Ultimo giorno,
ItemInfoLastWeek,Text,Show graph data over the last week,Last Week,Ultima settimana,
ItemInfoMax,Text,Short for maximum,Max:,Massimo:,
ItemInfoPotential,Text,Short for potential rate,Potential:,Potenziale:,
ItemInfoPotentialSurplus,Text,,Potential surplus:,Eccedenza potenziale:,
ItemInfoProduction,Text,,Production,Produzione,
ItemInfoTransportRules,Text,,Transport Rules,Regole di trasporto,
ItemInfoViewType,Text,The view type - either Last Day or Last Week,View:,Vedi:,
Item_0_Desc,Text,,Apples are harvested by the <bd>Orchard</bd>.,Le mele vengono raccolte dal <bd>Frutteto</bd>.,
Item_0_FullDesc,Text,,Apples are harvested from apple trees at the <bd>Orchard</bd> and used to make <it>Cider</it> at the <bd>Cider Press</bd>.,Le mele vengono raccolte dagli alberi di mele nel <bd>Frutteto</bd> e usate per fare <it>sidro</it> alla <bd>Pressa per Sidro</bd>.,
Item_0_Name,Text,,Apples,Mele,
Item_0_Past,Text,,Picked,Raccolto,
Item_0_Present,Text,,Picking,In raccolta,
Item_10_Desc,Text,,Flour is ground at the <bd>Flour Mill</bd>.,La farina viene macinata nel <bd>Mulino</bd>.,
Item_10_FullDesc,Text,,Flour is ground at the <bd>Flour Mill</bd> from <it>Wheat</it> and is used by the <bd>Bakery</bd> to bake <it>Bread</it>.,La farina viene macinata nel <bd>Mulino</bd> dal <it>Grano</it> e viene utilizzata dal <bd>Panificio</bd> per cuocere <it>Pane</it>.,
Item_10_Name,Text,,Flour,Farina,
Item_10_Past,Text,,Ground,Macinata,
Item_10_Present,Text,,Grinding,In macinazione,
Item_11_Desc,Text,,Bread is baked at the <bd>Bakery</bd>.,Il pane viene cotto nel <bd>Panificio</bd>.,
Item_11_FullDesc,Text,,Bread is baked at the <bd>Bakery</bd> using <it>Flour</it> and <it>Water</it> and is consumed by <bd>Level 3 Residences</bd>.,Il pane viene cotto nel <bd>Panificio</bd> usando <it>Farina</it> e <it>Acqua</it> e viene consumato dalle <bd>Residenze di Livello 3</bd>.,
Item_11_Name,Text,,Bread,Pane,
Item_11_Past,Text,,Baked,Pane pronto,
Item_11_Present,Text,,Baking,Pane in cottura,
Item_12_Desc,Text,,Water is pulled at <bd>Wells</bd>.,L'acqua viene estratta dai <bd>Pozzi</bd>.,
Item_12_FullDesc,Text,,"Water is pulled at <bd>Wells</bd> and is consumed by <bd>Level 1 Residences</bd>, used by <bd>Breweries</bd> to brew <it>Beer</it> and the <bd>Paper Mill</bd> to make <it>Paper</it>.","L'acqua viene estratta dai <bd>Pozzi</bd> e viene consumata dalle <bd>Residenze di Livello 1</bd>, utilizzata dai <bd>Birrifici</bd> per produrre <it>Birra</it> e dalla <bd>Cartiera</bd> per realizzare la <it>Carta</it>.",
Item_12_Name,Text,,Water,Acqua,
Item_12_Past,Text,,Pulled,Raccolta,
Item_12_Present,Text,,Pulling,In raccolta,
Item_13_Desc,Text,,Charcoal is a <cat>Fuel</cat> created at the <bd>Charcoal Burner</bd>.,La carbonella è un <cat>combustibile</cat> creato nel <bd>Bruciatore di Carbonella</bd>.,
Item_13_FullDesc,Text,,Charcoal is a <cat>Fuel</cat> created at the <bd>Charcoal Burner</bd> from <it>Logs</it>.,La carbonella è un <cat>combustibile</cat> creato nel <bd>Bruciatore di Carbonella</bd> dai <it>Tronchi</it>.,
Item_13_Name,Text,,Charcoal,Carbonella,
Item_13_Past,Text,,Burned,Bruciata,
Item_13_Present,Text,,Burning,In bruciatura,
Item_14_Desc,Text,,Coal is a <cat>Fuel</cat> mined by the <bd>Level 2 Surface Mine</bd> or the <bd>Level 1 Shaft Mine</bd>.,Il carbone è un <cat>combustibile</cat> estratto dalla <bd>Miniera di Superficie Livello 2</bd> o dalla <bd>Miniera Livello 1</bd>.,
Item_14_FullDesc,Text,,Coal is a <cat>Fuel</cat> mined by the <bd>Level 2 Surface Mine</bd> or the <bd>Level 1 Shaft Mine</bd> and used is by various buildings as fuel.,Il carbone è un <cat>combustibile</cat> estratto dalla <bd>Miniera di Superficie Livello 2</bd> o dalla <bd>Miniera Livello 1</bd> ed è usato da vari edifici come carburante.,
Item_14_Name,Text,,Coal,Carbone,
Item_14_Past,Text,,Mined,Estratto,
Item_14_Present,Text,,Mining,In estrazione,
Item_15_Desc,Text,,Wool is sheared at the <bd>Sheep Farm</bd>.,La lana viene tosata all'<bd>Allevamento di pecore</bd>.,
Item_15_FullDesc,Text,,Wool is sheared at the <bd>Sheep Farm</bd> and is used by the <bd>Weaver</bd> to make <it>Woollen Garments</it>.,La lana viene tosata nell'<bd>Allevamento di pecore</bd> e viene usata dal <bd>Tessitore</bd> per realizzare <it>Capi in lana</it>.,
Item_15_Name,Text,,Wool,Lana,
Item_15_Past,Text,,Sheared,Tosata,
Item_15_Present,Text,,Shearing,In tosatura,
Item_16_Desc,Text,,Meat is <cat>Food</cat> prepared at the <bd>Cow Farm</bd> and the <bd>Sheep Farm</bd>.,La carne è <cat>Cibo</cat> ottenuto dall'<bd>Allevamento di Mucche</bd> e dall'<bd>Allevamento di Pecore</bd>.,
Item_16_FullDesc,Text,,Meat is <cat>Food</cat> prepared at the <bd>Cow Farm</bd> and the <bd>Sheep Farm</bd> and is consumed by <bd>Level 1 Residences</bd>.,La carne è <cat>Cibo</cat> ottenuto dall'<bd>Allevamento di Mucche</bd> e dall'<bd>Allevamento di Pecore</bd> ed è consumato dalle <bd>Residenze di Livello 1</bd>.,
Item_16_Name,Text,,Meat,Carne,
Item_16_Past,Text,,Prepared,Preparata,
Item_16_Present,Text,,Preparing,In preparazione,
Item_18_Desc,Text,,Paper is pressed at the <bd>Paper Mill</bd>.,La carta viene pressata nella <bd>Cartiera</bd>.,
Item_18_FullDesc,Text,,Paper is pressed at the <bd>Paper Mill</bd> from <it>Logs</it> and <it>Water</it> and used by the <bd>Printing Press</bd> to create <it>Books</it>.,La carta viene pressata nella <bd>Cartiera</bd> da <it>Tronchi</it> e <it>Acqua</it> e usata nella <bd>Macchina da stampa</bd> per creare <it>Libri</it>.,
Item_18_Name,Text,,Paper,Carta,
Item_18_Past,Text,,Pressed,Pressata,
Item_18_Present,Text,,Pressing,In preparazione,
Item_19_Desc,Text,,Books are printed at the <bd>Printing Press</bd>.,I libri sono stampati nella <bd>Macchina da stampa</bd>.,
Item_19_FullDesc,Text,,Books are printed at the <bd>Printing Press</bd> using <it>Paper</it> and <it>Leather</it> and are used in research at the <bd>Level 3 Workshop</bd>.,I libri sono stampati nella <bd>Macchina da stampa</bd> usando <it>Carta</it> e <it>Pelle</it> e sono usati nelle ricerche nel <bd>Laboratorio Livello 3</bd>.,
Item_19_Name,Text,,Books,Libri,
Item_19_Past,Text,,Printed,Stampati,
Item_19_Present,Text,,Printing,In stampa,
Item_1_Desc,Text,,Cider is an <cat>Alcohol</cat> made at the <bd>Cider Press</bd>.,Il sidro è un <cat>Alcol</cat> prodotto dalla <bd>Pressa per Sidro</bd>.,
Item_1_FullDesc,Text,,Cider is an <cat>Alcohol</cat> made at the <bd>Cider Press</bd> from <it>Apples</it>.,Il sidro è un <cat>Alcol</cat> prodotto dalla <bd>Pressa per Sidro</bd> dalle <it>Mele</it>.,
Item_1_Name,Text,,Cider,Sidro,
Item_1_Past,Text,,Pressed,Pressato,
Item_1_Present,Text,,Pressing,In preparazione,
Item_20_Desc,Text,,Iron Ore is mined by the <bd>Level 2 Surface Mine</bd> and the <bd>Level 1 Shaft Mine</bd>.,Il ferro grezzo è estratto dalla <bd>Miniera di Superficie Livello 2</bd> e dalla <bd>Miniera Livello 1</bd>.,
Item_20_FullDesc,Text,,Iron Ore is mined by the <bd>Level 2 Surface Mine</bd> and the <bd>Level 1 Shaft Mine</bd> and is used by the <bd>Blast Furnace</bd> to create <it>Iron</it>.,Il ferro grezzo è estratto dalla <bd>Miniera di Superficie Livello 2</bd> e dalla <bd>Miniera Livello 1</bd> ed è usato nell'<bd>Altoforno</bd> per creare <it>Ferro</it>.,
Item_20_Name,Text,,Iron Ore,Ferro grezzo,
Item_20_Past,Text,,Mined,Estratto,
Item_20_Present,Text,,Mining,In estrazione,
Item_24_Desc,Text,,Iron is smelted at the <bd>Blast Furnace</bd>.,Il ferro viene fuso nella <bd>Altoforno</bd>.,
Item_24_FullDesc,Text,,"Iron is smelted at the <bd>Blast Furnace</bd> from <it>Iron Ore</it>.
It is used by the <bd>Blacksmith</bd> to create <it>Tools</it>, by the <bd>Steel Mill</bd> to create <it>Steel</it> and the <bd>Weaponsmith</bd> to make <it>Cannonballs</it> and in the construction of boats.","Il ferro viene fuso nella <bd>Altoforno</bd> dal <it>Ferro grezzo</it>. È usato dal <bd>Fabbro</bd> per creare <it>Strumenti</it>, dall'<bd>Acciaieria</bd> per creare <it>Acciaio</it> e dall'<bd>Armaiolo</bd> per realizzare <it>Palle di cannone</it> e nella costruzione di barche.",
Item_24_Name,Text,,Iron,Ferro,
Item_24_Past,Text,,Smelted,Fuso,
Item_24_Present,Text,,Smelting,In fusione,
Item_252_Name,Text,,Research,Ricerca,
Item_253_Name,Text,,Natural Resource,Risorsa naturale,
Item_254_Name,Text,,No Resources,Nessuna risorsa,
Item_255_Name,Text,,All Resources,Tutte le risorse,
Item_25_Desc,Text,,Leather is created at the <bd>Tannery</bd>.,La pelle viene creata nella <bd>Conceria</bd>.,
Item_25_FullDesc,Text,,Leather is created at the <bd>Tannery</bd> from <it>Hide</it> and <it>Salt</it> and is used to create <it>Books</it> at the <bd>Printing Press</bd>.,La pelle viene creata nella <bd>Conceria</bd> da <it>Pelle animale</it> e <it>Sale</it> e viene utilizzata per creare <it>Libri</it> nella <bd>Macchina da stampa</bd>.,
Item_25_Name,Text,,Leather,Pelle,
Item_25_Past,Text,,Tanned,Conciata,
Item_25_Present,Text,,Tanning,In conciatura,
Item_26_Desc,Text,,Quartz is mined by the <bd>Level 3 Surface Mine</bd> and the <bd>Level 2 Shaft Mine</bd>.,Il quarzo è estratto dalla <bd>Miniera di Superficie di Livello 3</bd> e dalla <bd>Miniera di Livello 2 </bd>.,
Item_26_FullDesc,Text,,Quartz is mined by the <bd>Level 3 Surface Mine</bd> and the <bd>Level 2 Shaft Mine</bd> and is used by the <bd>Glassworks</bd> to create <it>Glass</it>.,Il quarzo è estratto dalla <bd>Miniera di Superficie di Livello 3</bd> e dalla <bd>Miniera di Livello 2 </bd>. ed è usato dalla <bd>Vetreria</bd> per creare il <it>Vetro</it>.,
Item_26_Name,Text,,Quartz,Quarzo,
Item_26_Past,Text,,Mined,Estratto,
Item_26_Present,Text,,Mining,In estrazione,
Item_27_Desc,Text,,Arrows are made at the <bd>Fletcher</bd>.,Le frecce sono create dall'<bd>Artigiano</bd>.,
Item_27_FullDesc,Text,,Arrows are made at the <bd>Fletcher</bd> from <it>Logs</it> and are used by Level 2 <bd>Watchtowers</bd> to attack enemy watchtowers.,Le frecce sono create dall'<bd>Artigiano</bd> dai <it>Tronchi</it> e sono usate dalle <bd>Torri di guardia</bd> di Livello 2 per attaccare le torri nemiche.,
Item_27_Name,Text,,Arrows,Frecce,
Item_27_Past,Text,,Crafted,Create,
Item_27_Present,Text,,Crafting,In creazione,
Item_29_Desc,Text,,Cannonballs are made at the <bd>Weaponsmith</bd>.,Le palle di cannone vengono prodotte dall'<bd>Armaiolo</bd>.,
Item_29_FullDesc,Text,,Cannonballs are made at the <bd>Weaponsmith</bd> from <it>Iron</it> using <cat>Fuel</cat> and are used by <bd>Level 2 Watchtowers</bd> to fire at enemy watchtowers.,Le palle di cannone vengono prodotte dall'<bd>Armaiolo</bd> con <it>Ferro</it> utilizzando <cat>Carburante</cat> e sono usate dalle <bd>Torri di Guardia Livello 2</bd> per sparare alle torri nemiche.,
Item_29_Name,Text,,Cannonballs,Palle di cannone,
Item_29_Past,Text,,Crafted,Create,
Item_29_Present,Text,,Crafting,In creazione,
Item_2_Desc,Text,,Logs are chopped by the <bd>Lumberjack Hut</bd>.,I tronchi vengono tagliati dalla <bd>Capanna del Taglialegna</bd>.,
Item_2_FullDesc,Text,,"Logs are chopped by the <bd>Lumberjack Hut</bd> by chopping down trees. 

Logs are used in the construction of basic buildings but are also needed to make <it>Planks</it> at the <bd>Sawmill</bd>, <it>Charcoal</it> at the <bd>Charcoal Burner</bd>, <it>Paper</it> at the <bd>Paper Mill</bd> and <it>Arrows</it> at the <bd>Fletcher</bd>.

Watch out for warnings when your available trees run low and look at building <bd>Forestries</bd> to keep your Logs supplies going. Your <bd>Colony Ship</bd> also generates a slow supply of Logs so you never run out.","I tronchi vengono tagliati dalla <bd>Capanna del Taglialegna</bd> tagliando gli alberi.

I tronchi vengono utilizzati nella costruzione di edifici di base ma sono anche necessari per realizzare <it>Tavole</it> nella <bd>Segheria</bd>, <it>Carbone</it> nel <bd>Bruciatore di Carbonella</bd>, <it>Carta</it> nella <bd>Cartiera</bd> e <it>Frecce</it> dall'<bd>Artigiano</bd>.

Fai attenzione agli avvisi quando i tuoi alberi disponibili scarseggiano e ricorda di costruire <bd>Foreste</bd> per far andare avanti le scorte di tronchi. La tua <bd>nave della Colonia</bd> genera anche una fornitura lenta di tronchi in modo da non rimanere mai senza.",
Item_2_Name,Text,,Logs,Tronchi,
Item_2_Past,Text,,Chopped,Tagliati,
Item_2_Present,Text,,Chopping,In taglio,
Item_30_Desc,Text,,Steel is smelted at the <bd>Steelworks</bd>.,L'acciaio viene fuso nella <bd>Acciaieria</bd>.,
Item_30_FullDesc,Text,,Steel is smelted at the <bd>Steelworks</bd> from <it>Iron</it> using <cat>Fuel</cat> and is used in the construction of advanced buildings.,L'acciaio viene fuso nell'<bd>Acciaieria</bd> dal <it>Ferro</it> usando <cat>Carburante</cat> e viene usato nella costruzione di edifici avanzati.,
Item_30_Name,Text,,Steel,Acciaio,
Item_30_Past,Text,,Smelted,Fuso,
Item_30_Present,Text,,Smelting,In fusione,
Item_33_Desc,Text,,Clay is harvested by the <bd>Level 2 Surface Mine</bd> or the <bd>Level 1 Shaft Mine</bd>.,L'argilla viene raccolta dalla <bd>Miniera di Superficie di Livello 2</bd> o dalla <bd>Miniera di Livello 1</bd>.,
Item_33_FullDesc,Text,,Clay is harvested by the <bd>Level 2 Surface Mine</bd> or the <bd>Level 1 Shaft Mine</bd> and is used to make <it>Bricks</it> at the <bd>Brickyard</bd>.,L'argilla viene raccolta dalla <bd>Miniera di Superficie di Livello 2</bd> o dalla <bd>Miniera di Livello 1</bd> e viene utilizzata per fare i <it>Mattoni</it> al <bd>Mattonificio</bd>.,
Item_33_Name,Text,,Clay,Argilla,
Item_33_Past,Text,,Harvested,Raccolta,
Item_33_Present,Text,,Harvesting,In raccolta,
Item_34_Desc,Text,,Bricks are created at the <bd>Brickyard</bd>.,I mattoni vengono creati nel <bd>Mattonificio</bd>.,
Item_34_FullDesc,Text,,Bricks are created at the <bd>Brickyard</bd> from <it>Clay</it> using <cat>Fuel</cat> and are used in construction of advanced bulidings.,I mattoni vengono creati nel <bd>Mattonificio</bd> dalla <it>Argilla</it> utilizzando <cat>Carburante</cat> e sono usati nella costruzione di edifici avanzati.,
Item_34_Name,Text,,Bricks,Mattoni,
